generation,energy
320,9.57854e-11
321,9.57853e-11
322,9.57853e-11
323,9.57854e-11
324,9.57854e-11
325,9.57854e-11
326,9.57853e-11
327,9.57851e-11
328,9.57851e-11
329,9.57847e-11
330,9.57846e-11
331,9.57847e-11
332,9.57848e-11
333,9.57845e-11
334,9.57846e-11
335,9.57845e-11
336,9.57845e-11
337,9.57849e-11
338,9.57848e-11
339,9.57848e-11
340,9.57848e-11
341,9.57846e-11
342,9.57845e-11
343,9.57844e-11
344,9.57845e-11
345,9.57844e-11
346,9.57846e-11
347,9.57846e-11
348,9.57846e-11
349,9.57845e-11
350,9.57846e-11
351,9.57842e-11
352,9.57844e-11
353,9.57844e-11
354,9.57843e-11
355,9.57842e-11
356,9.57842e-11
357,9.57841e-11
358,9.57841e-11
359,9.57841e-11
360,9.57841e-11
361,9.5784e-11
362,9.5784e-11
363,9.5784e-11
364,9.5784e-11
365,9.5784e-11
366,9.5784e-11
367,9.5784e-11
368,9.5784e-11
369,9.57839e-11
370,9.57839e-11
371,9.57839e-11
372,9.57838e-11
373,9.57838e-11
374,9.57837e-11
375,9.57838e-11
376,9.57838e-11
377,9.57838e-11
378,9.57837e-11
379,9.57837e-11
380,9.57837e-11
381,9.57837e-11
382,9.57837e-11
383,9.57836e-11
384,9.57836e-11
385,9.57838e-11
386,9.57837e-11
387,9.57837e-11
388,9.57837e-11
389,9.57837e-11
390,9.57837e-11
391,9.57837e-11
392,9.57837e-11
393,9.57836e-11
394,9.57836e-11
395,9.57836e-11
396,9.57836e-11
397,9.57836e-11
398,9.57836e-11
399,9.57835e-11
400,9.57836e-11
401,9.57835e-11
402,9.57836e-11
403,9.57835e-11
404,9.57835e-11
405,9.57836e-11
406,9.57836e-11
407,9.57835e-11
408,9.57835e-11
409,9.57835e-11
410,9.57835e-11
411,9.57835e-11
412,9.57834e-11
413,9.57835e-11
414,9.57835e-11
415,9.57834e-11
416,9.57834e-11
417,9.57834e-11
418,9.57834e-11
419,9.57834e-11
420,9.57834e-11
421,9.57834e-11
422,9.57833e-11
423,9.57834e-11
424,9.57833e-11
425,9.57834e-11
426,9.57833e-11
427,9.57833e-11
428,9.57833e-11
429,9.57833e-11
430,9.57833e-11
431,9.57833e-11
432,9.57833e-11
433,9.57833e-11
434,9.57833e-11
435,9.57833e-11
436,9.57833e-11
437,9.57833e-11
438,9.57833e-11
439,9.57833e-11
440,9.57833e-11
441,9.57832e-11
442,9.57832e-11
443,9.57832e-11
444,9.57832e-11
445,9.57833e-11
446,9.57832e-11
447,9.57832e-11
448,9.57832e-11
449,9.57832e-11
450,9.57832e-11
451,9.57832e-11
452,9.57832e-11
453,9.57832e-11
454,9.57832e-11
455,9.57832e-11
456,9.57832e-11
457,9.57832e-11
458,9.57832e-11
459,9.57832e-11
460,9.57832e-11
461,9.57832e-11
462,9.57832e-11
463,9.57832e-11
464,9.57832e-11
465,9.57832e-11
466,9.57832e-11
467,9.57832e-11
468,9.57832e-11
469,9.57832e-11
470,9.57832e-11
471,9.57832e-11
472,9.57832e-11
473,9.57832e-11
474,9.57832e-11
475,9.57832e-11
476,9.57832e-11
477,9.57832e-11
478,9.57832e-11
479,9.57832e-11
480,9.57832e-11
481,9.57831e-11
482,9.57832e-11
483,9.57831e-11
484,9.57831e-11
485,9.57831e-11
486,9.57831e-11
487,9.57831e-11
488,9.57831e-11
489,9.57831e-11
490,9.57831e-11
491,9.57831e-11
492,9.57831e-11
493,9.57831e-11
494,9.57831e-11
495,9.57831e-11
496,9.57831e-11
497,9.57831e-11
498,9.57831e-11
499,9.57831e-11
500,9.57831e-11
501,9.57831e-11
502,9.57831e-11
503,9.57831e-11
504,9.57831e-11
505,9.57831e-11
506,9.57831e-11
